[2020-09-01 17:08:23.576] Starting up round ID .
 - -------------------------
[2020-09-01 17:10:04.171] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "WHO TOOK THE DAMN HARDSUITS?" (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-09-01 17:10:08.186] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "WHO TOOK THE DAMN HARDSUITS?" (language: Galactic Common) (Chief Engineer's Office (118, 81, 2))
[2020-09-01 17:10:32.270] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "OH GOD ITS ABOUT TO DELAMINATE CALL THE SHUTTLE" (language: Galactic Common) (Chief Engineer's Office (119, 81, 2))
[2020-09-01 17:10:54.276] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "OH GOD ITS ABOUT TO DELAMINATE CALL THE SHUTTLE" (language: Galactic Common) (Chief Engineer's Office (117, 83, 2))
[2020-09-01 17:11:08.291] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "OH GOD ITS ABOUT TO DELAMINATE CALL THE SHUTTLE" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-09-01 17:11:12.308] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Wire the solars, you lazy bums!" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-09-01 17:11:31.056] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Check the crystal, you chucklefucks!" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-09-01 17:11:35.447] TCOMMS: The �Automated Announcement System [Common] (spans: robot ) "Pedro Ilurdoz has signed up as Assistant" (language: Galactic Common) (Telecomms Control Room (107, 93, 2))
[2020-09-01 17:11:37.259] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Wire the solars, you lazy bums!" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-09-01 17:12:30.299] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "WHO TOOK THE DAMN HARDSUITS?" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-09-01 17:13:06.433] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Check the crystal, you chucklefucks!" (language: Galactic Common) (Chief Engineer's Office (118, 82, 2))
[2020-09-01 17:13:44.475] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Wire the solars, you lazy bums!" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-09-01 17:13:50.496] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Wire the solars, you lazy bums!" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-09-01 17:14:37.905] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Check the crystal, you chucklefucks!" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-09-01 17:14:41.938] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "WHO TOOK THE DAMN HARDSUITS?" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-09-01 17:14:51.950] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "OH GOD ITS ABOUT TO DELAMINATE CALL THE SHUTTLE" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-09-01 17:15:26.220] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "OH GOD ITS ABOUT TO DELAMINATE CALL THE SHUTTLE" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-09-01 17:15:50.282] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "I have lived many lives!" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-09-01 17:16:10.415] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "I have lived many lives!" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-09-01 17:16:16.515] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "OH GOD ITS ABOUT TO DELAMINATE CALL THE SHUTTLE" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-09-01 17:16:30.554] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Poly wanna cracker!" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-09-01 17:17:16.763] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Poly wanna cracker!" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-09-01 17:18:30.873] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Wire the solars, you lazy bums!" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-09-01 17:19:18.950] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "WHO TOOK THE DAMN HARDSUITS?" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-09-01 17:19:27.028] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Wire the solars, you lazy bums!" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-09-01 17:19:43.040] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Wire the solars, you lazy bums!" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-09-01 17:19:47.091] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "WHO TOOK THE DAMN HARDSUITS?" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
