[2020-08-30 00:31:29.242] Starting up round ID .
 - -------------------------
[2020-08-30 00:33:18.830] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "WHO TOOK THE DAMN HARDSUITS?" (language: Galactic Common) (Chief Engineer's Office (116, 82, 2))
[2020-08-30 00:33:24.829] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "OH GOD ITS ABOUT TO DELAMINATE CALL THE SHUTTLE" (language: Galactic Common) (Chief Engineer's Office (115, 81, 2))
[2020-08-30 00:34:03.209] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Check the crystal, you chucklefucks!" (language: Galactic Common) (Chief Engineer's Office (115, 81, 2))
[2020-08-30 00:34:21.527] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "OH GOD ITS ABOUT TO DELAMINATE CALL THE SHUTTLE" (language: Galactic Common) (Chief Engineer's Office (115, 81, 2))
[2020-08-30 00:34:53.525] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Poly wanna cracker!" (language: Galactic Common) (Chief Engineer's Office (115, 81, 2))
[2020-08-30 00:35:09.539] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "What are you before me?" (language: Galactic Common) (Chief Engineer's Office (115, 81, 2))
[2020-08-30 00:35:25.563] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "WHO TOOK THE DAMN HARDSUITS?" (language: Galactic Common) (Chief Engineer's Office (115, 81, 2))
[2020-08-30 00:35:33.564] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "OH GOD ITS ABOUT TO DELAMINATE CALL THE SHUTTLE" (language: Galactic Common) (Chief Engineer's Office (115, 81, 2))
[2020-08-30 00:35:57.702] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "What are you before me?" (language: Galactic Common) (Chief Engineer's Office (115, 81, 2))
[2020-08-30 00:36:01.695] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "OH GOD ITS ABOUT TO DELAMINATE CALL THE SHUTTLE" (language: Galactic Common) (Chief Engineer's Office (115, 81, 2))
[2020-08-30 00:36:11.697] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Poly wanna cracker!" (language: Galactic Common) (Chief Engineer's Office (115, 81, 2))
[2020-08-30 00:36:35.698] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Wire the solars, you lazy bums!" (language: Galactic Common) (Chief Engineer's Office (115, 81, 2))
[2020-08-30 00:36:43.699] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Poly wanna cracker!" (language: Galactic Common) (Chief Engineer's Office (115, 81, 2))
[2020-08-30 00:36:47.698] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Check the crystal, you chucklefucks!" (language: Galactic Common) (Chief Engineer's Office (115, 81, 2))
[2020-08-30 00:37:44.054] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "OH GOD ITS ABOUT TO DELAMINATE CALL THE SHUTTLE" (language: Galactic Common) (Chief Engineer's Office (115, 81, 2))
[2020-08-30 00:37:46.060] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "WHO TOOK THE DAMN HARDSUITS?" (language: Galactic Common) (Chief Engineer's Office (115, 81, 2))
[2020-08-30 00:38:08.078] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "What are you before me?" (language: Galactic Common) (Chief Engineer's Office (115, 81, 2))
[2020-08-30 00:38:22.103] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "WHO TOOK THE DAMN HARDSUITS?" (language: Galactic Common) (Chief Engineer's Office (115, 81, 2))
[2020-08-30 00:38:36.119] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "WHO TOOK THE DAMN HARDSUITS?" (language: Galactic Common) (Chief Engineer's Office (116, 80, 2))
[2020-08-30 00:38:48.135] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Poly wanna cracker!" (language: Galactic Common) (Chief Engineer's Office (115, 81, 2))
[2020-08-30 00:38:56.149] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Poly wanna cracker!" (language: Galactic Common) (Chief Engineer's Office (115, 81, 2))
[2020-08-30 00:40:08.287] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "OH GOD ITS ABOUT TO DELAMINATE CALL THE SHUTTLE" (language: Galactic Common) (Chief Engineer's Office (116, 81, 2))
[2020-08-30 00:40:38.325] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "OH GOD ITS ABOUT TO DELAMINATE CALL THE SHUTTLE" (language: Galactic Common) (Chief Engineer's Office (115, 81, 2))
[2020-08-30 00:40:46.348] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "What are you before me?" (language: Galactic Common) (Chief Engineer's Office (115, 81, 2))
[2020-08-30 00:41:27.022] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "WHO TOOK THE DAMN HARDSUITS?" (language: Galactic Common) (Chief Engineer's Office (115, 81, 2))
[2020-08-30 00:42:11.330] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Check the crystal, you chucklefucks!" (language: Galactic Common) (Chief Engineer's Office (115, 81, 2))
[2020-08-30 00:42:23.327] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Check the crystal, you chucklefucks!" (language: Galactic Common) (Chief Engineer's Office (115, 81, 2))
[2020-08-30 00:42:39.331] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "WHO TOOK THE DAMN HARDSUITS?" (language: Galactic Common) (Chief Engineer's Office (115, 81, 2))
[2020-08-30 00:42:53.330] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "WHO TOOK THE DAMN HARDSUITS?" (language: Galactic Common) (Chief Engineer's Office (115, 81, 2))
[2020-08-30 00:45:34.134] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Wire the solars, you lazy bums!" (language: Galactic Common) (Chief Engineer's Office (115, 81, 2))
[2020-08-30 00:45:38.136] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Poly wanna cracker!" (language: Galactic Common) (Chief Engineer's Office (115, 81, 2))
[2020-08-30 00:45:44.135] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "OH GOD ITS ABOUT TO DELAMINATE CALL THE SHUTTLE" (language: Galactic Common) (Chief Engineer's Office (115, 81, 2))
[2020-08-30 00:45:58.137] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Poly wanna cracker!" (language: Galactic Common) (Chief Engineer's Office (115, 81, 2))
[2020-08-30 00:46:14.136] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "What are you before me?" (language: Galactic Common) (Chief Engineer's Office (116, 80, 2))
[2020-08-30 00:46:28.136] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "What are you before me?" (language: Galactic Common) (Chief Engineer's Office (115, 81, 2))
[2020-08-30 00:46:40.135] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "What are you before me?" (language: Galactic Common) (Chief Engineer's Office (115, 81, 2))
