[2020-09-10 15:12:49.190] Starting up round ID .
 - -------------------------
[2020-09-10 15:34:18.255] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "WHO TOOK THE DAMN HARDSUITS?" (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-09-10 15:34:44.332] TCOMMS: *no key*/(Officer Beepsky) [Security] (spans: robot ) "Detaining level -1 scumbag Pedro Ilurdoz in Port Primary Hallway." (language: Galactic Common) (Port Primary Hallway (84, 141, 2))
[2020-09-10 15:34:46.340] TCOMMS: *no key*/(Officer Beepsky) [Security] (spans: robot ) "Detaining level -1 scumbag Pedro Ilurdoz in Port Primary Hallway." (language: Galactic Common) (Port Primary Hallway (85, 141, 2))
[2020-09-10 15:35:00.460] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Check the crystal, you chucklefucks!" (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-09-10 15:35:04.464] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Wire the solars, you lazy bums!" (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-09-10 15:35:06.464] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Poly wanna cracker!" (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-09-10 15:35:14.478] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Poly wanna cracker!" (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-09-10 15:36:28.659] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Poly wanna cracker!" (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-09-10 15:38:14.749] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Twice the calories for half the price!" (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-09-10 15:39:16.780] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Twice the calories for half the price!" (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-09-10 15:42:20.786] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Twice the calories for half the price!" (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-09-10 15:42:58.790] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Twice the calories for half the price!" (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-09-10 15:43:00.791] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Twice the calories for half the price!" (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-09-10 15:43:36.805] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Twice the calories for half the price!" (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-09-10 15:43:48.847] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Twice the calories for half the price!" (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-09-10 15:43:58.845] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Twice the calories for half the price!" (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-09-10 15:44:18.849] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Twice the calories for half the price!" (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-09-10 15:44:20.850] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Twice the calories for half the price!" (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-09-10 15:44:24.847] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Twice the calories for half the price!" (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-09-10 15:45:00.872] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Twice the calories for half the price!" (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-09-10 15:45:50.929] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Twice the calories for half the price!" (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-09-10 15:45:52.929] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Twice the calories for half the price!" (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-09-10 15:48:51.005] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "I&#39;d rather toolbox than switch." (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-09-10 15:49:21.047] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Twice the calories for half the price!" (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-09-10 15:49:39.045] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Twice the calories for half the price!" (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-09-10 15:49:55.048] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Twice the calories for half the price!" (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-09-10 15:51:21.087] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "I&#39;d rather toolbox than switch." (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
