[2020-09-15 01:30:07.872] Starting up round ID .
 - -------------------------
[2020-09-15 01:34:26.584] TCOMMS: The �Automated Announcement System [Common] (spans: robot ) "Pedro Ilurdoz has signed up as Captain" (language: Galactic Common) (Telecomms Control Room (107, 93, 2))
[2020-09-15 01:34:55.743] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "WHO TOOK THE DAMN HARDSUITS?" (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-09-15 01:35:13.918] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Wire the solars, you lazy bums!" (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-09-15 01:36:04.258] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Wire the solars, you lazy bums!" (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-09-15 01:36:24.337] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "OH GOD ITS ABOUT TO DELAMINATE CALL THE SHUTTLE" (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-09-15 01:36:38.363] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "OH GOD ITS ABOUT TO DELAMINATE CALL THE SHUTTLE" (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-09-15 01:36:58.460] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "The things I&#39;ve seen!" (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-09-15 01:37:10.463] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "The things I&#39;ve seen!" (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-09-15 01:37:38.502] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "WHO TOOK THE DAMN HARDSUITS?" (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-09-15 01:37:58.293] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "WHO TOOK THE DAMN HARDSUITS?" (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-09-15 01:38:25.035] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "WHO TOOK THE DAMN HARDSUITS?" (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
