[2020-09-26 20:32:57.304] Starting up round ID .
 - -------------------------
[2020-09-26 20:34:47.406] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "WHO TOOK THE DAMN HARDSUITS?" (language: Galactic Common) (Chief Engineer's Office (118, 82, 2))
[2020-09-26 20:34:47.968] TCOMMS: The �Automated Announcement System [Medical] (spans: robot ) "Cock Advisor, Chief Medical Officer, is the department head." (language: Galactic Common) (Telecomms Control Room (107, 93, 2))
[2020-09-26 20:34:51.639] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "WHO TOOK THE DAMN HARDSUITS?" (language: Galactic Common) (Chief Engineer's Office (118, 82, 2))
[2020-09-26 20:34:53.648] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "WHO TOOK THE DAMN HARDSUITS?" (language: Galactic Common) (Chief Engineer's Office (119, 82, 2))
[2020-09-26 20:35:39.702] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "OH GOD ITS ABOUT TO DELAMINATE CALL THE SHUTTLE" (language: Galactic Common) (Chief Engineer's Office (115, 79, 2))
[2020-09-26 20:36:39.695] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "WHO TOOK THE DAMN HARDSUITS?" (language: Galactic Common) (Chief Engineer's Office (116, 79, 2))
[2020-09-26 20:36:53.702] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Poly wanna cracker!" (language: Galactic Common) (Chief Engineer's Office (115, 79, 2))
[2020-09-26 20:36:59.703] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "WHO TOOK THE DAMN HARDSUITS?" (language: Galactic Common) (Chief Engineer's Office (115, 79, 2))
[2020-09-26 20:37:13.706] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Poly wanna cracker!" (language: Galactic Common) (Chief Engineer's Office (115, 79, 2))
[2020-09-26 20:37:15.711] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Wire the solars, you lazy bums!" (language: Galactic Common) (Chief Engineer's Office (115, 79, 2))
[2020-09-26 20:37:21.705] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Poly wanna cracker!" (language: Galactic Common) (Chief Engineer's Office (115, 79, 2))
[2020-09-26 20:39:28.048] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Poly wanna cracker!" (language: Galactic Common) (Chief Engineer's Office (116, 81, 2))
[2020-09-26 20:39:58.053] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "WHO TOOK THE DAMN HARDSUITS?" (language: Galactic Common) (Chief Engineer's Office (115, 79, 2))
[2020-09-26 20:40:06.054] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "WHO TOOK THE DAMN HARDSUITS?" (language: Galactic Common) (Chief Engineer's Office (115, 79, 2))
[2020-09-26 20:40:26.082] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Poly wanna cracker!" (language: Galactic Common) (Chief Engineer's Office (115, 79, 2))
[2020-09-26 20:40:34.109] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Check the crystal, you chucklefucks!" (language: Galactic Common) (Chief Engineer's Office (115, 79, 2))
[2020-09-26 20:40:58.134] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "...0." (language: Galactic Common) (Chief Engineer's Office (117, 82, 2))
[2020-09-26 20:41:08.142] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "OH GOD ITS ABOUT TO DELAMINATE CALL THE SHUTTLE" (language: Galactic Common) (Chief Engineer's Office (119, 82, 2))
