[2020-08-26 01:04:58.672] Starting up round ID .
 - -------------------------
[2020-08-26 01:06:54.328] TCOMMS: The �Automated Announcement System [Common] (spans: robot ) "Cockmistress has signed up as Captain" (language: Galactic Common) (Telecomms Control Room (107, 93, 2))
[2020-08-26 01:25:35.020] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "OH GOD ITS ABOUT TO DELAMINATE CALL THE SHUTTLE" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:25:41.019] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Check the crystal, you chucklefucks!" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:25:53.019] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Wire the solars, you lazy bums!" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:26:03.024] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "WHO TOOK THE DAMN HARDSUITS?" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:26:07.020] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "WHO TOOK THE DAMN HARDSUITS?" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:27:07.101] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Check the crystal, you chucklefucks!" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:27:31.101] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Wire the solars, you lazy bums!" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:27:37.101] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Check the crystal, you chucklefucks!" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:27:57.102] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "OH GOD ITS ABOUT TO DELAMINATE CALL THE SHUTTLE" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:28:55.103] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Wire the solars, you lazy bums!" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:29:39.103] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Wire the solars, you lazy bums!" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:29:55.102] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Wire the solars, you lazy bums!" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:30:29.103] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Wire the solars, you lazy bums!" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:31:11.104] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "OH GOD ITS ABOUT TO DELAMINATE CALL THE SHUTTLE" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:31:17.102] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Poly wanna cracker!" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:32:39.103] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "WHO TOOK THE DAMN HARDSUITS?" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:34:07.102] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "What are you before me?" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:34:09.104] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "WHO TOOK THE DAMN HARDSUITS?" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:34:31.105] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "WHO TOOK THE DAMN HARDSUITS?" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:34:35.102] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "WHO TOOK THE DAMN HARDSUITS?" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:34:39.103] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "What are you before me?" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:35:07.103] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "OH GOD ITS ABOUT TO DELAMINATE CALL THE SHUTTLE" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:35:13.103] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "OH GOD ITS ABOUT TO DELAMINATE CALL THE SHUTTLE" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:36:27.104] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Wire the solars, you lazy bums!" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:36:43.107] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Wire the solars, you lazy bums!" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
