[2020-08-28 04:02:40.776] Starting up round ID .
 - -------------------------
[2020-08-28 04:13:33.535] Logs from logging subsystem:
 - (2020-08-28 01:06:16) ATTACK: *no key*/(Rokur Hurst) has suffered: Second Degree Burns to right leg | Damage: 10.8(rolled 26/27.9765) (Small Freighter (63, 73, 3))
 - (2020-08-28 01:06:58) ATTACK: *no key*/(Jo Jo Bobo Bo) has suffered: Second Degree Burns to groin | Damage: 10.8(rolled 26/27.9765) (Unexplored Location (203, 119, 8))
 - (2020-08-28 01:06:58) ATTACK: *no key*/(Jo Jo Bobo Bo) has suffered: Hairline Fracture to groin | Damage: 8.8(rolled 16/21.0027) (Unexplored Location (203, 119, 8))
 - (2020-08-28 01:07:10) ATTACK: *no key*/(Rokur Hurst) has suffered: Second Degree Burns to right foot | Damage: 10.8(rolled 26/27.9765) (Small Freighter (63, 73, 3))
 - (2020-08-28 01:07:12) ATTACK: *no key*/(Sprinkledinkle) has suffered: Second Degree Burns to left foot | Damage: 10.8(rolled 27/27.9765) (Unexplored Location (200, 120, 8))
 - (2020-08-28 01:07:18) ATTACK: *no key*/(Jo Jo Bobo Bo) has suffered: Second Degree Burns to right foot | Damage: 10.8(rolled 26/27.9765) (Unexplored Location (203, 119, 8))
 - (2020-08-28 01:07:18) ATTACK: *no key*/(Sprinkledinkle) has suffered: Second Degree Burns to right arm | Damage: 10.8(rolled 26/27.9765) (Unexplored Location (200, 120, 8))
 - (2020-08-28 01:07:22) ATTACK: *no key*/(Skylar Clark) has suffered: Second Degree Burns to right arm | Damage: 10.8(rolled 26/27.9765) (Small Freighter (56, 75, 3))
 - (2020-08-28 01:07:36) ATTACK: *no key*/(Topcake) has suffered: Second Degree Burns to chest | Damage: 10.8(rolled 26/27.9765) (Unexplored Location (201, 122, 8))
 - (2020-08-28 01:07:36) ATTACK: *no key*/(Topcake) has suffered: Rib Dislocation to chest | Damage: 8.8(rolled 6/21.0027) (Unexplored Location (201, 122, 8))
 - (2020-08-28 01:07:40) ATTACK: *no key*/(Topcake) has suffered: Hairline Fracture to chest | Damage: 9.9(rolled 20/24.7679) (Unexplored Location (201, 122, 8))
 - (2020-08-28 01:07:52) ATTACK: *no key*/(Jo Jo Bobo Bo) has suffered: Third Degree Burns to groin | Damage: 10.8(rolled 25/27.9765) (Unexplored Location (203, 119, 8))
 - (2020-08-28 01:07:58) ATTACK: *no key*/(Topcake) has suffered: Third Degree Burns to chest | Damage: 10.8(rolled 14/27.9765) (Unexplored Location (201, 122, 8))
 - (2020-08-28 01:08:08) ATTACK: *no key*/(Topcake) has suffered: Second Degree Burns to right hand | Damage: 10.8(rolled 26/27.9765) (Unexplored Location (201, 122, 8))
 - (2020-08-28 01:08:20) ATTACK: *no key*/(Skylar Clark) has suffered: Second Degree Burns to right hand | Damage: 10.8(rolled 27/27.9765) (Small Freighter (56, 75, 3))
 - (2020-08-28 01:08:22) ATTACK: *no key*/(Rokur Hurst) has suffered: Second Degree Burns to left hand | Damage: 10.8(rolled 27/27.9765) (Small Freighter (63, 73, 3))
 - (2020-08-28 01:08:22) ATTACK: *no key*/(Topcake) has suffered: Compound Fracture to chest | Damage: 12(rolled 31/32.423) (Unexplored Location (201, 122, 8))
 - (2020-08-28 01:08:30) ATTACK: *no key*/(Sprinkledinkle) has suffered: Second Degree Burns to right leg | Damage: 10.8(rolled 27/27.9765) (Unexplored Location (200, 120, 8))
 - (2020-08-28 01:08:43) ATTACK: *no key*/(Topcake) has suffered: Disembowelment (Unexplored Location (201, 122, 8))
 - (2020-08-28 01:08:44) ATTACK: *no key*/(Alberto Edry) has suffered: Second Degree Burns to groin | Damage: 10.8(rolled 27/27.9765) (Tiny Freighter (119, 72, 3))
 - (2020-08-28 01:09:00) ATTACK: *no key*/(Alberto Edry) has suffered: Second Degree Burns to right hand | Damage: 10.8(rolled 27/27.9765) (Tiny Freighter (119, 72, 3))
