[2020-08-30 00:51:20.803] Starting up round ID .
 - -------------------------
[2020-08-30 00:53:12.156] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "WHO TOOK THE DAMN HARDSUITS?" (language: Galactic Common) (Chief Engineer's Office (116, 82, 2))
[2020-08-30 00:53:24.164] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "WHO TOOK THE DAMN HARDSUITS?" (language: Galactic Common) (Chief Engineer's Office (118, 82, 2))
[2020-08-30 00:53:36.217] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Check the crystal, you chucklefucks!" (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-08-30 00:53:48.216] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "OH GOD ITS ABOUT TO DELAMINATE CALL THE SHUTTLE" (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-08-30 00:53:54.225] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Wire the solars, you lazy bums!" (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-08-30 00:53:56.225] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "WHO TOOK THE DAMN HARDSUITS?" (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-08-30 00:53:58.222] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Wire the solars, you lazy bums!" (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-08-30 00:54:10.227] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "OH GOD ITS ABOUT TO DELAMINATE CALL THE SHUTTLE" (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-08-30 00:54:16.234] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "OH GOD ITS ABOUT TO DELAMINATE CALL THE SHUTTLE" (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-08-30 00:54:42.335] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "OH GOD ITS ABOUT TO DELAMINATE CALL THE SHUTTLE" (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-08-30 00:55:18.362] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "...0." (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-08-30 00:55:42.386] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Wire the solars, you lazy bums!" (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-08-30 00:56:06.396] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Check the crystal, you chucklefucks!" (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-08-30 00:56:24.542] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "WHO TOOK THE DAMN HARDSUITS?" (language: Galactic Common) (Chief Engineer's Office (119, 82, 2))
[2020-08-30 00:56:51.348] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "...0." (language: Galactic Common) (Chief Engineer's Office (119, 81, 2))
