[2020-08-30 20:24:07.280] Starting up round ID .
 - -------------------------
[2020-08-30 20:25:57.400] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "WHO TOOK THE DAMN HARDSUITS?" (language: Galactic Common) (Chief Engineer's Office (116, 82, 2))
[2020-08-30 20:26:17.720] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Wire the solars, you lazy bums!" (language: Galactic Common) (Chief Engineer's Office (115, 81, 2))
[2020-08-30 20:26:27.762] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Check the crystal, you chucklefucks!" (language: Galactic Common) (Chief Engineer's Office (115, 81, 2))
[2020-08-30 20:26:37.760] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Check the crystal, you chucklefucks!" (language: Galactic Common) (Chief Engineer's Office (115, 81, 2))
[2020-08-30 20:28:04.242] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "...0." (language: Galactic Common) (Chief Engineer's Office (115, 81, 2))
[2020-08-30 20:28:38.253] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "OH GOD ITS ABOUT TO DELAMINATE CALL THE SHUTTLE" (language: Galactic Common) (Chief Engineer's Office (115, 81, 2))
[2020-08-30 20:28:52.264] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "OH GOD ITS ABOUT TO DELAMINATE CALL THE SHUTTLE" (language: Galactic Common) (Chief Engineer's Office (115, 81, 2))
[2020-08-30 20:28:54.263] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Wire the solars, you lazy bums!" (language: Galactic Common) (Chief Engineer's Office (115, 81, 2))
[2020-08-30 20:29:10.280] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "WHO TOOK THE DAMN HARDSUITS?" (language: Galactic Common) (Chief Engineer's Office (115, 81, 2))
[2020-08-30 20:30:38.332] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "OH GOD ITS ABOUT TO DELAMINATE CALL THE SHUTTLE" (language: Galactic Common) (Chief Engineer's Office (115, 81, 2))
[2020-08-30 20:30:50.337] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "WHO TOOK THE DAMN HARDSUITS?" (language: Galactic Common) (Chief Engineer's Office (115, 81, 2))
[2020-08-30 20:31:00.344] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "OH GOD ITS ABOUT TO DELAMINATE CALL THE SHUTTLE" (language: Galactic Common) (Chief Engineer's Office (115, 81, 2))
[2020-08-30 20:32:44.471] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "...0." (language: Galactic Common) (Chief Engineer's Office (116, 79, 2))
[2020-08-30 20:32:46.473] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Poly wanna cracker!" (language: Galactic Common) (Chief Engineer's Office (116, 79, 2))
[2020-08-30 20:32:52.474] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Check the crystal, you chucklefucks!" (language: Galactic Common) (Chief Engineer's Office (115, 81, 2))
[2020-08-30 20:32:56.472] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Check the crystal, you chucklefucks!" (language: Galactic Common) (Chief Engineer's Office (115, 81, 2))
[2020-08-30 20:32:58.541] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Poly wanna cracker!" (language: Galactic Common) (Chief Engineer's Office (115, 81, 2))
[2020-08-30 20:33:06.551] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "...0." (language: Galactic Common) (Chief Engineer's Office (115, 81, 2))
